V-S-D
                      0
                      0
                      0      0.00000          0.000
                      3      0.01151          0.001
                     51      0.05140          0.006
                    207      0.15718          0.013
                    527      0.26955          0.022
                   1002      0.36318          0.033
                   1602      0.43691          0.045
                   2314      0.51240          0.058
                   3139      0.58783          0.072
                   4082      0.66986          0.087
                   5159      0.76534          0.103
                   6373      0.85398          0.121
                   7735      0.96191          0.138
                   9262      1.07461          0.157
                  10602      1.15860          0.173
