V-S-D
                      0
                      0
                      0      0.00000          0.000
                      5      0.03020          0.000
                     89      0.08198          0.005
                    266      0.15434          0.012
                    567      0.24696          0.020
                   1028      0.36796          0.031
                   1718      0.55187          0.042
                   2707      0.76724          0.055
                   3923      0.96902          0.068
