V-S-D
                      0
                      0
                      0      0.00000          0.000
                     16      0.02864          0.002
                     98      0.08149          0.008
                    269      0.14656          0.016
                    549      0.22646          0.026
                    955      0.31441          0.037
                   1498      0.40964          0.049
                   2180      0.49934          0.063
                   2655      0.55800          0.071
