V-S-D
                      0
                      0
                      0      0.00000          0.000
                      9      0.02038          0.002
                     77      0.06949          0.007
                    220      0.12216          0.015
                    446      0.17936          0.024
                    768      0.24970          0.035
                   1201      0.32721          0.047
                   1751      0.40642          0.061
                   2424      0.49077          0.075
                   2625      0.51600          0.079
