V-S-D
                      0
                      0
                      0      0.00000          0.000
                     17      0.03485          0.002
                    120      0.10130          0.008
                    317      0.16252          0.015
                    619      0.23934          0.025
                   1051      0.33689          0.036
                   1642      0.45073          0.048
                   2473      0.65800          0.062
                   3588      0.82900          0.076
                   4976      1.02100          0.092
                   6068      1.16400          0.102
