V-S-D
                      0
                      0
                      0      0.00000          0.000
                     20      0.02628          0.004
                     89      0.06554          0.010
                    215      0.10365          0.018
                    401      0.14357          0.028
                    651      0.18956          0.040
                    976      0.24460          0.053
                   1387      0.30303          0.066
                   1895      0.37368          0.081
                   2512      0.44900          0.097
                   2747      0.49447          0.102
