V-S-D
                      0
                      0
                      0      0.00000          0.000
                      0      0.00320          0.000
                     11      0.01137          0.004
                     41      0.02806          0.011
                    105      0.05803          0.020
                    221      0.09636          0.030
                    395      0.13483          0.042
                    628      0.17582          0.054
                    925      0.22058          0.068
                   1288      0.26425          0.083
                   1724      0.31709          0.099
                   2129      0.35791          0.112
