V-S-D
                      0
                      0
                      0      0.00000          0.000
                      0      0.00044          0.000
                     23      0.02984          0.004
                    100      0.07282          0.011
                    240      0.11363          0.019
                    450      0.16662          0.029
                    767      0.25584          0.041
                   1223      0.35290          0.053
                   1567      0.41130          0.062
